,Family_Size,HH_head_Sex,HH_head_Age,Education,Electricity_expenditure,Water_expenditure,Total_Family_Income,Urbanity
371,6.5,1,78,2.0,9114,3966,57449.666666666664,0
372,2.0,1,56,2.0,1158,2172,13095.833333333334,0
373,5.5,1,55,1.0,0,0,13648.666666666666,0
374,4.0,1,30,2.0,4056,0,13353.333333333334,0
375,7.5,1,50,2.0,9000,8400,46958.0,0
376,2.0,1,51,2.0,1692,2172,32125.333333333332,0
377,5.5,1,75,2.0,7704,2376,44505.0,0
378,6.0,1,25,2.0,2184,2172,11609.5,0
379,9.5,1,70,1.0,7944,7356,39499.5,0
380,1.0,2,82,2.0,4716,2172,19174.0,0
381,3.0,1,62,1.0,4674,2172,16948.5,0
382,7.0,1,40,2.0,1140,2172,14892.166666666666,0
383,10.5,1,69,3.0,6996,2586,17791.833333333332,0
385,4.5,1,51,3.0,16800,4800,40900.0,0
386,3.5,1,66,3.0,14244,4086,39019.0,0
387,6.0,1,34,2.0,1836,3786,18992.0,0
388,4.0,1,39,2.0,1200,2346,14433.333333333334,1
389,3.5,1,35,5.0,1578,2370,23878.166666666668,1
390,2.0,2,53,2.0,2700,2172,9380.333333333334,1
391,6.0,1,45,1.0,2112,11676,20050.666666666668,1
392,7.5,1,58,2.0,4704,4086,32773.666666666664,1
394,5.0,1,36,5.0,5400,4206,31195.833333333332,1
395,3.0,2,68,1.0,960,2172,11600.0,1
396,4.0,1,32,2.0,5184,2172,22838.0,1
397,7.5,1,32,2.0,96,1740,15094.166666666666,1
398,3.0,1,32,2.0,2538,1842,11700.0,1
399,5.0,2,52,2.0,8070,2640,39129.0,1
400,9.5,1,40,2.0,900,2172,13903.833333333334,1
401,7.0,1,37,3.0,0,3042,19502.166666666668,1
402,3.0,1,57,2.0,2766,2172,18834.166666666668,1
403,2.5,1,49,4.0,34800,5700,44190.833333333336,1
404,3.0,1,44,2.0,3480,2172,12683.833333333334,1
405,7.0,1,55,2.0,3132,3300,43288.333333333336,1
406,5.5,1,38,3.0,8400,3486,35261.833333333336,1
407,5.0,1,40,3.0,3600,2286,15163.5,1
408,1.5,2,69,1.0,0,2172,6662.0,1
411,3.0,1,48,5.0,3816,2370,15295.666666666666,1
412,3.0,1,48,2.0,900,2886,20984.0,1
413,4.5,1,64,1.0,8880,4080,19578.5,1
415,12.0,1,70,1.0,4380,2196,32752.833333333332,1
417,9.0,1,42,2.0,2748,0,19934.166666666668,1
418,5.0,1,63,2.0,10500,0,22589.333333333332,1
419,7.0,1,46,2.0,7800,6600,26702.833333333332,1
420,6.5,1,35,3.0,600,1086,16717.0,1
422,5.5,1,59,2.0,8280,0,19653.0,1
423,4.0,1,36,2.0,3000,1500,31066.666666666668,1
425,11.0,1,58,1.0,2700,0,34552.5,1
